transaction_id,amount,hour,duration_sec,num_items,customer_age,label
119,195.71,13,69.5,4,51,normal
115,142.31,18,50.6,7,20,normal
176,183.09,8,55.8,9,22,normal
374,188.37,10,61.8,2,31,normal
182,115.71,12,63.5,6,53,normal
145,160.4,13,60.4,7,30,normal
370,119.08,19,92.1,7,35,normal
391,114.06,16,57.4,8,59,normal
196,165.41,17,52.0,4,57,normal
405,132.0,17,68.2,1,22,normal
276,168.48,10,59.0,1,43,normal
455,1356.36,4,6.6,36,65,anomaly
142,202.29,12,75.8,8,33,normal
366,133.95,12,66.4,6,67,normal
68,190.14,18,34.3,1,63,normal
211,172.84,14,50.8,7,64,normal
169,140.18,17,94.5,3,64,normal
494,5.76,0,309.7,0,52,anomaly
376,119.31,21,44.7,5,66,normal
401,86.22,17,51.7,9,45,normal
273,196.53,12,51.6,6,55,normal
110,147.02,12,58.6,1,27,normal
249,220.62,21,60.4,5,39,normal
146,181.27,9,60.4,9,35,normal
93,121.92,16,62.8,5,62,normal
153,122.8,8,63.3,5,23,normal
368,150.5,17,51.4,7,29,normal
468,1255.41,2,6.0,36,64,anomaly
84,129.27,14,74.7,2,46,normal
246,136.62,18,47.7,8,24,normal
166,166.51,19,76.0,9,57,normal
164,117.17,10,73.3,7,40,normal
200,104.28,15,77.8,5,67,normal
229,121.39,8,52.7,4,24,normal
75,45.21,10,51.9,9,41,normal
479,5.14,0,380.6,0,46,anomaly
359,162.91,18,91.1,5,53,normal
251,99.56,16,62.9,4,40,normal
120,180.08,12,74.6,4,61,normal
311,141.29,8,58.7,5,51,normal
300,175.19,18,81.7,1,37,normal
256,130.63,15,92.4,2,45,normal
355,149.24,16,75.7,3,53,normal
400,199.51,16,63.9,8,47,normal
226,193.56,19,77.8,7,28,normal
354,143.6,9,69.5,4,36,normal
235,235.76,18,68.9,5,68,normal
383,65.04,21,41.6,5,26,normal
275,110.74,15,83.5,4,49,normal
37,158.35,21,54.6,9,59,normal
197,114.65,19,50.7,1,50,normal
140,100.77,10,40.8,4,36,normal
365,177.61,15,55.2,6,41,normal
245,101.99,10,78.1,2,45,normal
440,147.78,9,60.8,7,31,normal
287,143.93,20,40.8,3,35,normal
60,189.02,21,66.0,9,32,normal
112,148.94,11,49.5,9,63,normal
90,170.53,8,60.4,5,63,normal
437,215.14,13,58.9,4,61,normal
7,213.17,17,51.4,2,68,normal
361,170.77,19,86.0,5,29,normal
347,92.08,21,81.0,4,53,normal
339,166.52,21,56.3,1,69,normal
159,102.35,16,81.7,5,56,normal
151,160.02,13,53.5,7,23,normal
178,208.14,8,46.2,7,56,normal
394,223.26,14,36.4,4,41,normal
185,141.06,11,74.8,8,38,normal
450,107.63,13,57.9,8,59,normal
11,131.46,12,49.3,8,60,normal
381,116.41,14,52.8,3,68,normal
104,117.91,15,62.8,4,44,normal
82,164.28,16,67.1,9,40,normal
39,96.87,20,43.8,9,44,normal
315,202.22,11,59.4,4,34,normal
168,225.87,13,81.1,2,23,normal
470,948.56,2,7.0,36,67,anomaly
297,185.98,8,56.4,6,55,normal
475,934.41,2,6.0,47,47,anomaly
199,152.33,20,50.4,5,38,normal
298,162.29,20,65.3,1,62,normal
417,212.05,9,59.3,8,38,normal
147,100.52,11,74.1,2,50,normal
393,97.19,13,69.8,9,34,normal
148,97.18,19,52.3,3,25,normal
448,112.4,11,16.6,1,69,normal
288,173.53,8,73.1,2,35,normal
124,93.93,13,56.3,6,29,normal
369,153.91,8,59.6,8,53,normal
97,161.84,16,46.2,4,38,normal
144,157.39,15,70.2,4,39,normal
240,184.1,21,77.5,9,64,normal
443,67.3,14,61.2,5,35,normal
98,160.44,20,39.7,5,42,normal
408,144.3,11,17.3,5,52,normal
123,206.11,12,49.1,7,44,normal
184,169.3,18,45.0,4,37,normal
203,193.32,8,47.5,8,49,normal
247,131.0,21,65.5,7,48,normal
306,154.69,9,66.7,6,46,normal
299,182.51,12,41.2,4,39,normal
352,209.01,15,65.9,2,41,normal
387,163.67,21,85.3,4,23,normal
396,131.23,15,80.7,5,33,normal
285,235.32,17,63.7,9,33,normal
126,237.62,13,69.3,8,65,normal
303,179.89,21,65.1,3,23,normal
224,85.49,16,63.4,7,30,normal
419,197.17,8,61.2,5,30,normal
220,153.27,21,49.0,6,34,normal
130,129.86,21,69.2,5,21,normal
421,232.43,18,74.9,7,29,normal
290,125.09,21,58.5,3,61,normal
445,97.82,11,73.7,6,64,normal
377,184.89,15,56.1,2,59,normal
292,130.28,18,43.9,4,32,normal
356,109.9,8,52.0,7,25,normal
295,164.28,13,59.3,2,28,normal
397,81.47,12,50.6,1,46,normal
341,117.11,15,45.0,4,61,normal
113,152.41,17,59.5,7,24,normal
180,258.81,21,48.5,3,23,normal
308,126.34,12,79.9,5,25,normal
433,139.22,8,75.5,5,67,normal
488,6.22,3,291.2,0,39,anomaly
482,4.4,2,337.1,1,49,anomaly
423,140.04,18,36.7,8,43,normal
234,123.94,15,54.6,6,62,normal
312,193.95,13,81.6,2,30,normal
165,188.54,20,61.2,9,29,normal
137,118.67,16,66.4,8,61,normal
198,156.15,9,51.7,2,55,normal
259,167.75,15,63.7,5,58,normal
233,151.82,20,68.8,8,32,normal
116,162.06,15,87.2,8,23,normal
121,181.64,16,69.3,4,53,normal
350,141.46,17,50.3,6,60,normal
225,131.12,9,59.8,9,58,normal
403,150.21,16,59.6,1,21,normal
398,204.15,16,65.9,9,60,normal
128,127.35,14,40.0,6,46,normal
286,71.92,11,51.5,5,29,normal
412,105.01,13,43.2,6,58,normal
108,156.98,17,61.8,2,61,normal
371,150.98,17,85.9,5,67,normal
326,101.43,20,71.4,9,24,normal
134,168.94,21,66.9,8,28,normal
453,1181.18,0,5.0,48,32,anomaly
45,90.86,8,73.9,2,63,normal
461,988.46,2,4.8,32,20,anomaly
66,204.25,14,59.1,9,26,normal
284,100.49,15,70.6,4,47,normal
86,129.93,17,75.2,4,50,normal
243,170.2,12,57.5,6,54,normal
187,168.93,18,59.3,1,38,normal
384,128.97,12,38.0,4,40,normal
160,176.26,9,62.9,1,57,normal
13,159.68,19,56.2,5,44,normal
36,101.17,15,66.7,6,44,normal
29,125.97,20,52.1,1,30,normal
171,114.42,11,53.3,5,36,normal
143,85.7,11,59.4,3,53,normal
399,145.42,12,67.4,1,59,normal
343,159.8,13,87.0,8,41,normal
222,75.31,15,86.9,5,66,normal
96,91.46,10,38.9,3,22,normal
52,134.6,17,69.1,2,49,normal
241,118.3,10,80.7,5,38,normal
485,6.71,1,287.7,0,42,anomaly
379,237.59,13,66.0,4,29,normal
179,139.41,17,44.9,8,35,normal
42,156.85,11,55.4,5,49,normal
499,6.74,4,278.5,0,66,anomaly
422,220.21,19,52.6,5,27,normal
207,170.6,16,63.0,3,68,normal
283,213.44,10,44.7,7,54,normal
255,89.23,9,69.7,7,25,normal
413,88.64,9,40.6,8,42,normal
5,140.63,9,63.0,7,69,normal
257,200.68,15,55.4,2,23,normal
449,129.45,13,91.3,8,62,normal
101,93.39,13,45.8,2,58,normal
227,152.57,10,97.9,1,45,normal
430,79.65,13,91.2,3,28,normal
214,176.06,8,65.0,1,25,normal
172,117.37,10,81.8,2,26,normal
99,150.2,9,45.4,6,48,normal
293,126.43,11,37.1,2,25,normal
216,180.36,21,90.2,2,39,normal
62,142.57,15,76.5,1,27,normal
48,192.28,11,75.7,6,68,normal
33,149.46,16,56.4,9,59,normal
268,92.79,8,44.6,2,63,normal
328,181.67,18,66.4,2,42,normal
201,164.31,9,81.3,8,64,normal
447,164.66,8,75.0,6,46,normal
28,165.03,17,43.1,1,53,normal
425,175.82,13,82.5,9,60,normal
231,120.79,13,70.2,7,69,normal
261,112.92,10,58.6,9,54,normal
289,161.24,11,69.8,2,50,normal
163,196.34,17,64.0,3,58,normal
426,204.75,15,72.8,7,55,normal
139,182.54,10,64.1,5,31,normal
63,105.75,10,61.7,7,65,normal
136,212.0,14,35.1,8,41,normal
129,153.99,11,65.7,6,46,normal
477,6.47,3,293.1,1,27,anomaly
9,131.22,10,59.5,1,23,normal
327,196.32,9,71.8,2,22,normal
464,1434.75,1,7.3,36,38,anomaly
65,182.5,10,54.5,3,65,normal
301,116.84,14,58.8,6,62,normal
15,81.0,20,20.2,2,29,normal
157,224.63,10,57.2,1,54,normal
41,179.54,17,68.9,9,41,normal
380,117.67,18,69.7,1,54,normal
469,1095.2,2,5.4,33,31,anomaly
404,151.88,12,77.6,2,44,normal
217,119.09,19,57.3,7,67,normal
280,134.59,13,27.0,8,41,normal
435,210.09,20,56.1,5,59,normal
431,102.67,12,65.7,8,66,normal
338,137.14,18,29.4,7,52,normal
237,68.99,12,72.3,8,64,normal
208,170.55,18,37.3,6,47,normal
213,188.16,21,64.3,6,36,normal
296,122.28,16,63.7,9,64,normal
458,1074.42,3,2.9,33,32,anomaly
252,186.71,20,60.7,2,29,normal
489,2.72,3,306.2,0,37,anomaly
487,3.43,0,408.5,1,66,anomaly
304,174.41,11,66.9,3,69,normal
351,162.44,20,70.5,7,58,normal
270,155.23,14,49.5,6,39,normal
202,172.43,11,51.4,6,55,normal
162,181.48,15,37.7,5,59,normal
44,137.96,15,41.2,4,40,normal
218,140.53,19,48.0,4,66,normal
402,126.02,11,49.9,9,68,normal
191,132.14,9,62.5,8,41,normal
310,141.91,17,70.6,8,37,normal
260,180.99,21,83.7,2,69,normal
106,166.16,19,70.5,8,66,normal
54,174.47,14,86.3,7,68,normal
390,126.92,14,59.4,2,34,normal
2,144.47,10,60.9,7,28,normal
442,148.69,8,58.8,3,26,normal
483,5.49,2,303.8,1,64,anomaly
50,79.48,13,38.9,6,54,normal
420,152.7,18,40.8,1,31,normal
81,141.21,14,75.4,5,48,normal
206,112.49,8,69.5,6,37,normal
35,182.9,13,70.7,2,28,normal
264,109.02,8,62.8,3,55,normal
428,177.44,14,54.8,3,40,normal
367,158.96,15,67.8,5,21,normal
92,188.75,11,49.1,7,41,normal
340,127.45,17,49.8,4,23,normal
474,1114.23,2,1.3,39,58,anomaly
53,122.92,19,40.8,9,58,normal
346,159.28,17,68.6,7,43,normal
265,139.9,14,53.3,4,25,normal
242,145.41,12,69.7,4,61,normal
14,73.47,17,82.6,6,69,normal
316,150.84,20,38.5,4,67,normal
89,128.81,16,50.6,2,43,normal
388,225.05,11,53.1,2,65,normal
274,150.41,15,65.7,5,40,normal
167,182.88,12,52.2,9,65,normal
329,174.96,10,45.5,8,45,normal
493,5.86,3,268.9,0,49,anomaly
135,113.22,15,58.9,9,55,normal
307,201.11,17,69.6,9,26,normal
481,4.09,0,382.0,0,42,anomaly
320,144.79,20,50.2,7,45,normal
244,184.63,12,62.2,6,65,normal
55,191.24,21,28.8,3,31,normal
364,166.07,12,52.7,5,21,normal
51,162.96,21,36.7,2,51,normal
457,1400.7,3,2.9,27,30,anomaly
175,161.07,11,53.7,7,33,normal
446,176.79,16,65.2,8,22,normal
190,89.41,13,65.7,9,38,normal
497,3.15,3,269.4,0,56,anomaly
188,147.09,10,70.1,4,68,normal
170,119.85,13,54.6,7,39,normal
59,163.25,17,51.8,7,40,normal
49,163.74,15,49.4,3,40,normal
345,131.16,14,51.4,5,36,normal
236,175.36,16,76.6,4,49,normal
253,234.89,17,39.6,4,24,normal
22,140.97,19,48.3,8,32,normal
314,182.54,20,87.0,9,43,normal
460,1091.51,0,8.4,35,64,anomaly
161,111.01,18,75.5,6,40,normal
277,157.96,14,51.7,6,63,normal
444,146.44,8,30.0,5,22,normal
192,184.26,15,67.4,1,43,normal
386,156.02,17,75.7,5,45,normal
294,183.98,20,49.6,9,63,normal
414,201.11,14,77.4,1,44,normal
344,129.72,15,69.6,1,52,normal
258,121.69,14,63.3,9,58,normal
309,171.88,18,62.9,2,34,normal
150,161.88,11,53.1,1,56,normal
131,87.97,18,68.4,6,60,normal
152,163.86,13,55.4,2,66,normal
360,116.91,19,49.7,6,20,normal
100,140.62,11,75.8,3,49,normal
373,208.05,13,60.6,5,41,normal
88,163.15,19,40.8,6,42,normal
459,1268.02,0,6.9,22,65,anomaly
331,149.51,11,59.9,7,43,normal
215,137.39,12,69.9,3,23,normal
467,1079.32,2,7.0,25,27,anomaly
122,113.62,8,36.4,6,62,normal
500,4.24,3,265.4,0,47,anomaly
21,208.63,16,38.9,1,21,normal
189,116.13,8,43.2,3,65,normal
72,211.52,17,57.2,3,41,normal
107,225.45,10,51.4,4,27,normal
271,207.65,9,77.9,3,43,normal
349,121.26,19,60.9,4,62,normal
436,152.96,18,57.1,8,37,normal
103,136.29,15,67.4,5,66,normal
